%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=215678, 2017/11/24 11:34:59.78)
1 8 1.046124e+00 1.197417e+00 9.416595e-01 9.416595e-01 9.501009e-01 1.033988e+00 1.197417e+00 
2 16 1.215551e+00 1.297807e+00 8.949237e-01 8.949237e-01 9.033433e-01 1.120430e+00 1.297807e+00 
3 24 1.066211e+00 1.249898e+00 8.464031e-01 8.464031e-01 8.733199e-01 1.080667e+00 1.249898e+00 
4 32 1.132732e+00 1.188356e+00 8.189699e-01 8.189699e-01 9.235790e-01 1.106282e+00 1.188356e+00 
5 40 1.186474e+00 1.153006e+00 7.781105e-01 7.781105e-01 9.742623e-01 1.080168e+00 1.153006e+00 
6 48 1.339183e+00 1.211388e+00 7.326888e-01 7.326888e-01 9.462058e-01 1.083288e+00 1.211388e+00 
7 56 1.419185e+00 1.232268e+00 7.008644e-01 7.008644e-01 9.541931e-01 1.028346e+00 1.232268e+00 
8 64 1.650215e+00 1.379390e+00 6.808738e-01 6.808738e-01 9.395189e-01 9.884259e-01 1.379390e+00 
9 72 1.430065e+00 1.327430e+00 6.411866e-01 6.411866e-01 8.959507e-01 9.553409e-01 1.327430e+00 
10 80 1.358245e+00 1.314249e+00 6.271634e-01 6.271634e-01 8.582689e-01 9.293783e-01 1.314249e+00 
11 88 1.516325e+00 1.435621e+00 6.501968e-01 6.501968e-01 8.166815e-01 9.111880e-01 1.435621e+00 
12 96 1.751691e+00 1.653989e+00 6.197943e-01 6.197943e-01 7.780904e-01 9.022777e-01 1.653989e+00 
13 104 1.724947e+00 1.596112e+00 6.209808e-01 6.209808e-01 7.871307e-01 8.581582e-01 1.596112e+00 
14 112 1.633312e+00 1.530666e+00 6.105006e-01 6.105006e-01 7.680023e-01 8.839836e-01 1.530666e+00 
15 120 1.445408e+00 1.477230e+00 5.984986e-01 5.984986e-01 7.369912e-01 8.672191e-01 1.477230e+00 
16 128 1.289312e+00 1.411022e+00 5.682610e-01 5.682610e-01 7.288323e-01 8.671808e-01 1.411022e+00 
17 136 1.218811e+00 1.338571e+00 5.722506e-01 5.722506e-01 7.197985e-01 8.319391e-01 1.338571e+00 
18 144 1.146742e+00 1.283206e+00 5.570039e-01 5.570039e-01 7.107340e-01 7.924287e-01 1.283206e+00 
19 152 1.005443e+00 1.292086e+00 5.344509e-01 5.344509e-01 6.754827e-01 7.540430e-01 1.292086e+00 
20 160 7.999542e-01 1.221703e+00 5.059609e-01 5.059609e-01 6.426727e-01 7.528568e-01 1.221703e+00 
21 168 7.423572e-01 1.182032e+00 4.927456e-01 4.927456e-01 6.387619e-01 7.574648e-01 1.182032e+00 
22 176 7.062882e-01 1.121897e+00 4.777877e-01 4.777877e-01 6.122125e-01 7.734770e-01 1.121897e+00 
23 184 7.513648e-01 1.109860e+00 4.596053e-01 4.596053e-01 6.572025e-01 7.561541e-01 1.109860e+00 
24 192 6.046200e-01 1.076578e+00 4.395546e-01 4.395546e-01 6.294031e-01 7.378188e-01 1.076578e+00 
25 200 5.066501e-01 1.043813e+00 4.201386e-01 4.201386e-01 6.084947e-01 7.020466e-01 1.043813e+00 
26 208 4.667639e-01 1.070146e+00 3.974527e-01 3.974527e-01 5.751409e-01 6.878404e-01 1.070146e+00 
27 216 4.591337e-01 1.078222e+00 3.852266e-01 3.852266e-01 5.688913e-01 6.870702e-01 1.078222e+00 
28 224 5.569405e-01 1.180304e+00 4.273133e-01 4.273133e-01 5.457884e-01 6.610872e-01 1.180304e+00 
29 232 5.279784e-01 1.182784e+00 4.143994e-01 4.143994e-01 5.369758e-01 6.232326e-01 1.182784e+00 
30 240 5.884070e-01 1.143639e+00 4.086461e-01 4.086461e-01 5.185156e-01 7.067658e-01 1.143639e+00 
31 248 6.387321e-01 1.112275e+00 3.871469e-01 3.871469e-01 5.024973e-01 7.470257e-01 1.112275e+00 
32 256 6.421113e-01 1.064991e+00 3.711591e-01 3.711591e-01 5.344818e-01 7.187007e-01 1.064991e+00 
33 264 5.111140e-01 1.013742e+00 3.526356e-01 3.526356e-01 5.126698e-01 6.803044e-01 1.013742e+00 
34 272 5.299386e-01 1.055451e+00 3.348675e-01 3.348675e-01 4.952672e-01 6.890543e-01 1.055451e+00 
35 280 5.422603e-01 1.054292e+00 3.223880e-01 3.223880e-01 4.734800e-01 7.508524e-01 1.054292e+00 
36 288 5.592412e-01 1.094181e+00 3.136227e-01 3.136227e-01 4.771083e-01 7.197881e-01 1.094181e+00 
37 296 5.709663e-01 1.139759e+00 3.020330e-01 3.020330e-01 4.538381e-01 7.047156e-01 1.139759e+00 
38 304 5.435649e-01 1.125999e+00 2.867825e-01 2.867825e-01 4.590307e-01 6.672360e-01 1.125999e+00 
39 312 4.332776e-01 1.095996e+00 2.741018e-01 2.741018e-01 4.394021e-01 6.419927e-01 1.095996e+00 
40 320 4.564706e-01 1.127099e+00 2.579333e-01 2.579333e-01 4.430473e-01 6.590080e-01 1.127099e+00 
