%  columns="iteration, evaluation, void, void, void, xmean" (startseed=215678, 2017/11/24 11:34:59.78)
70 560 0 0 0 -7.398327e+00 5.902698e-01 -8.740286e-01 4.220018e+00 
71 568 0 0 0 -7.413960e+00 5.964242e-01 -7.831763e-01 4.286476e+00 
72 576 0 0 0 -7.452205e+00 6.031146e-01 -7.852406e-01 4.335207e+00 
73 584 0 0 0 -7.505966e+00 6.054460e-01 -7.705625e-01 4.404262e+00 
74 592 0 0 0 -7.525746e+00 6.107984e-01 -8.442755e-01 4.376623e+00 
75 600 0 0 0 -7.489159e+00 5.944300e-01 -8.078500e-01 4.315334e+00 
76 608 0 0 0 -7.450000e+00 5.878092e-01 -7.740056e-01 4.260393e+00 
77 616 0 0 0 -7.458485e+00 5.900939e-01 -7.849783e-01 4.279106e+00 
78 624 0 0 0 -7.435434e+00 5.831866e-01 -7.797810e-01 4.255941e+00 
79 632 0 0 0 -7.439293e+00 5.714080e-01 -7.154725e-01 4.295731e+00 
80 640 0 0 0 -7.413160e+00 5.850340e-01 -6.800118e-01 4.278006e+00 
81 648 0 0 0 -7.432547e+00 5.921181e-01 -7.257410e-01 4.268666e+00 
82 656 0 0 0 -7.417127e+00 5.936365e-01 -7.605071e-01 4.242578e+00 
83 664 0 0 0 -7.418129e+00 5.902266e-01 -7.742757e-01 4.241606e+00 
84 672 0 0 0 -7.446586e+00 5.960087e-01 -8.055895e-01 4.282000e+00 
85 680 0 0 0 -7.439951e+00 5.914821e-01 -8.391035e-01 4.259364e+00 
86 688 0 0 0 -7.469287e+00 5.959496e-01 -8.309708e-01 4.291839e+00 
87 696 0 0 0 -7.489092e+00 5.980553e-01 -8.649018e-01 4.309769e+00 
88 704 0 0 0 -7.491739e+00 6.028119e-01 -8.515608e-01 4.319674e+00 
89 712 0 0 0 -7.514289e+00 6.048897e-01 -8.203615e-01 4.365492e+00 
90 720 0 0 0 -7.512816e+00 6.021473e-01 -8.621692e-01 4.327971e+00 
91 728 0 0 0 -7.549253e+00 6.047864e-01 -8.662323e-01 4.352710e+00 
92 736 0 0 0 -7.541473e+00 6.017361e-01 -8.614200e-01 4.316874e+00 
93 744 0 0 0 -7.516798e+00 6.033631e-01 -8.329356e-01 4.320752e+00 
94 752 0 0 0 -7.526382e+00 6.034732e-01 -8.175161e-01 4.336244e+00 
95 760 0 0 0 -7.510334e+00 6.036124e-01 -7.811281e-01 4.326452e+00 
96 768 0 0 0 -7.516625e+00 5.962458e-01 -8.332544e-01 4.289373e+00 
97 776 0 0 0 -7.528192e+00 5.988799e-01 -8.782347e-01 4.300625e+00 
98 784 0 0 0 -7.512197e+00 6.045016e-01 -8.403021e-01 4.337904e+00 
99 792 0 0 0 -7.513600e+00 6.035645e-01 -8.251950e-01 4.329575e+00 
100 800 0 0 0 -7.511315e+00 6.027278e-01 -8.414435e-01 4.326745e+00 
