%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=215678, 2017/11/24 11:34:59.78)
57 456 -8.700000000000000000e+01 0 0 -6.990134e+00 6.029441e-01 -2.966298e-01 4.245691e+00 
58 464 -1.080000000000000000e+02 0 0 -6.778370e+00 5.267172e-01 -4.394606e-01 3.956263e+00 
59 472 -8.600000000000000000e+01 0 0 -6.864969e+00 5.418638e-01 -6.179783e-01 4.006087e+00 
60 480 -9.100000000000000000e+01 0 0 -7.132159e+00 6.141883e-01 -6.502228e-01 4.060580e+00 
61 488 -9.700000000000000000e+01 0 0 -7.398823e+00 6.202344e-01 -8.361195e-01 4.149328e+00 
62 496 -1.030000000000000000e+02 0 0 -7.413189e+00 6.395871e-01 -6.839288e-01 4.219321e+00 
63 504 -1.070000000000000000e+02 0 0 -7.341815e+00 5.107440e-01 -8.874142e-01 3.960118e+00 
64 512 -1.020000000000000000e+02 0 0 -7.467745e+00 6.048936e-01 -7.945916e-01 4.311788e+00 
65 520 -9.200000000000000000e+01 0 0 -7.469365e+00 5.817050e-01 -8.317089e-01 4.304049e+00 
66 528 -1.060000000000000000e+02 0 0 -7.412368e+00 6.044083e-01 -8.265653e-01 4.233413e+00 
67 536 -1.130000000000000000e+02 0 0 -7.399301e+00 5.958297e-01 -8.102407e-01 4.256385e+00 
68 544 -1.350000000000000000e+02 0 0 -7.393937e+00 5.953646e-01 -8.102321e-01 4.259509e+00 
69 552 -1.140000000000000000e+02 0 0 -7.430422e+00 5.919199e-01 -8.865750e-01 4.237962e+00 
70 560 -1.130000000000000000e+02 0 0 -7.411862e+00 5.909983e-01 -8.836773e-01 4.221031e+00 
71 568 -1.890000000000000000e+02 0 0 -7.434960e+00 5.978773e-01 -7.583524e-01 4.312694e+00 
72 576 -1.060000000000000000e+02 0 0 -7.467973e+00 6.081779e-01 -8.019595e-01 4.358368e+00 
73 584 -1.430000000000000000e+02 0 0 -7.552092e+00 6.136651e-01 -8.049249e-01 4.433635e+00 
74 592 -1.250000000000000000e+02 0 0 -7.524718e+00 6.065146e-01 -8.256646e-01 4.383533e+00 
75 600 -9.100000000000000000e+01 0 0 -7.428582e+00 5.989932e-01 -7.536114e-01 4.304004e+00 
76 608 -1.260000000000000000e+02 0 0 -7.443807e+00 5.993479e-01 -7.216329e-01 4.265810e+00 
77 616 -8.800000000000000000e+01 0 0 -7.438694e+00 5.861436e-01 -8.290187e-01 4.229844e+00 
78 624 -9.500000000000000000e+01 0 0 -7.456010e+00 5.799498e-01 -7.866433e-01 4.274757e+00 
79 632 -9.500000000000000000e+01 0 0 -7.420044e+00 5.606163e-01 -7.038981e-01 4.286199e+00 
80 640 -1.300000000000000000e+02 0 0 -7.385154e+00 5.746309e-01 -6.643708e-01 4.245972e+00 
81 648 -9.900000000000000000e+01 0 0 -7.434758e+00 5.889035e-01 -6.956812e-01 4.292511e+00 
82 656 -1.040000000000000000e+02 0 0 -7.394194e+00 5.946485e-01 -7.653973e-01 4.227611e+00 
83 664 -1.230000000000000000e+02 0 0 -7.416022e+00 5.977342e-01 -7.601820e-01 4.269771e+00 
84 672 -1.510000000000000000e+02 0 0 -7.450565e+00 6.025383e-01 -7.852526e-01 4.315641e+00 
85 680 -1.070000000000000000e+02 0 0 -7.430348e+00 5.886009e-01 -8.595993e-01 4.229405e+00 
86 688 -1.040000000000000000e+02 0 0 -7.482927e+00 5.986364e-01 -8.237682e-01 4.323254e+00 
87 696 -1.130000000000000000e+02 0 0 -7.498548e+00 6.006041e-01 -8.743851e-01 4.327793e+00 
88 704 -1.410000000000000000e+02 0 0 -7.492773e+00 6.032393e-01 -8.323323e-01 4.328372e+00 
89 712 -1.590000000000000000e+02 0 0 -7.554870e+00 6.110262e-01 -8.321884e-01 4.404845e+00 
90 720 -1.120000000000000000e+02 0 0 -7.491406e+00 5.970632e-01 -8.830974e-01 4.277335e+00 
91 728 -1.690000000000000000e+02 0 0 -7.572663e+00 6.130937e-01 -8.267887e-01 4.405757e+00 
92 736 -1.320000000000000000e+02 0 0 -7.523812e+00 6.057697e-01 -8.111046e-01 4.329747e+00 
93 744 -1.060000000000000000e+02 0 0 -7.479602e+00 5.997865e-01 -8.321381e-01 4.274006e+00 
94 752 -1.100000000000000000e+02 0 0 -7.529235e+00 6.075646e-01 -8.310009e-01 4.332213e+00 
95 760 -1.330000000000000000e+02 0 0 -7.497193e+00 6.073579e-01 -7.567084e-01 4.333808e+00 
96 768 -1.170000000000000000e+02 0 0 -7.528693e+00 5.977516e-01 -8.532867e-01 4.296115e+00 
97 776 -1.150000000000000000e+02 0 0 -7.527207e+00 5.966597e-01 -9.211200e-01 4.272454e+00 
98 784 -1.300000000000000000e+02 0 0 -7.509169e+00 6.049125e-01 -8.315498e-01 4.339114e+00 
99 792 -1.250000000000000000e+02 0 0 -7.520515e+00 6.094674e-01 -8.195534e-01 4.345234e+00 
100 800 -1.140000000000000000e+02 0 0 -7.513186e+00 6.045003e-01 -8.642920e-01 4.339375e+00 
