%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=215678, 2017/11/24 11:34:59.78)
64 512 3.494322e-01 0 0 2.547704e-01 8.063665e-02 2.114283e-01 2.022407e-01 
65 520 3.140362e-01 0 0 2.188909e-01 6.846057e-02 1.803721e-01 1.771729e-01 
66 528 2.727882e-01 0 0 1.852385e-01 5.661852e-02 1.490751e-01 1.482781e-01 
67 536 2.237632e-01 0 0 1.431503e-01 4.396628e-02 1.149999e-01 1.150871e-01 
68 544 1.778578e-01 0 0 1.070875e-01 3.288752e-02 8.615111e-02 8.681003e-02 
69 552 1.482660e-01 0 0 8.422119e-02 2.582279e-02 7.012416e-02 6.837782e-02 
70 560 1.345784e-01 0 0 7.242068e-02 2.210545e-02 6.196045e-02 5.959501e-02 
71 568 1.328223e-01 0 0 6.752510e-02 2.060870e-02 6.604634e-02 6.043328e-02 
72 576 1.333075e-01 0 0 6.612960e-02 1.979497e-02 6.355956e-02 6.416588e-02 
73 584 1.582787e-01 0 0 8.384358e-02 2.247903e-02 7.418224e-02 8.726208e-02 
74 592 1.565914e-01 0 0 8.196838e-02 2.130737e-02 7.509752e-02 8.253751e-02 
75 600 1.472845e-01 0 0 7.454104e-02 1.958968e-02 6.809014e-02 7.563360e-02 
76 608 1.644294e-01 0 0 8.203025e-02 2.182388e-02 7.501012e-02 8.720106e-02 
77 616 1.359323e-01 0 0 6.414224e-02 1.706496e-02 6.031650e-02 6.932074e-02 
78 624 1.142248e-01 0 0 5.205271e-02 1.387358e-02 4.782920e-02 5.612400e-02 
79 632 1.378615e-01 0 0 6.015013e-02 1.772469e-02 6.450441e-02 6.587642e-02 
80 640 1.483592e-01 0 0 6.287741e-02 1.873027e-02 7.227477e-02 6.771314e-02 
81 648 1.293337e-01 0 0 5.174666e-02 1.573055e-02 6.045522e-02 5.595606e-02 
82 656 1.166147e-01 0 0 4.468664e-02 1.349435e-02 5.348493e-02 4.892314e-02 
83 664 9.944295e-02 0 0 3.590712e-02 1.101791e-02 4.403675e-02 3.996224e-02 
84 672 1.123414e-01 0 0 4.045292e-02 1.213904e-02 5.182783e-02 4.724595e-02 
85 680 1.173633e-01 0 0 4.038039e-02 1.201491e-02 5.638643e-02 4.740780e-02 
86 688 1.070875e-01 0 0 3.694885e-02 1.044358e-02 4.923609e-02 4.299603e-02 
87 696 1.075431e-01 0 0 3.803290e-02 1.001405e-02 4.978723e-02 4.349229e-02 
