%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=215678, 2017/11/24 11:34:59.78)
1 8 1.046124e+00 1.271603e+00 -5.200000000000000000e+01 -5.200000000000000000e+01 -4.000000000000000000e+01 -3.400000000000000000e+01
2 16 1.215551e+00 1.450187e+00 -6.800000000000000000e+01 -6.800000000000000000e+01 -5.850000000000000000e+01 -3.200000000000000000e+01
3 24 1.066211e+00 1.476717e+00 -6.800000000000000000e+01 -6.800000000000000000e+01 -3.750000000000000000e+01 -3.000000000000000000e+01
4 32 1.132732e+00 1.451037e+00 -7.200000000000000000e+01 -7.200000000000000000e+01 -4.450000000000000000e+01 -3.000000000000000000e+01
5 40 1.186474e+00 1.481803e+00 -9.300000000000000000e+01 -9.300000000000000000e+01 -5.750000000000000000e+01 -4.200000000000000000e+01
6 48 1.339183e+00 1.653345e+00 -1.070000000000000000e+02 -1.070000000000000000e+02 -4.400000000000000000e+01 -3.400000000000000000e+01
7 56 1.419185e+00 1.758212e+00 -1.070000000000000000e+02 -4.700000000000000000e+01 -4.300000000000000000e+01 -3.700000000000000000e+01
8 64 1.650215e+00 2.025911e+00 -1.090000000000000000e+02 -1.090000000000000000e+02 -4.400000000000000000e+01 -3.400000000000000000e+01
9 72 1.430065e+00 2.070271e+00 -1.090000000000000000e+02 -5.400000000000000000e+01 -4.200000000000000000e+01 -1.300000000000000000e+01
10 80 1.358245e+00 2.095545e+00 -1.090000000000000000e+02 -6.200000000000000000e+01 -4.550000000000000000e+01 -3.200000000000000000e+01
11 88 1.516325e+00 2.207979e+00 -1.090000000000000000e+02 -8.300000000000000000e+01 -4.850000000000000000e+01 -3.400000000000000000e+01
12 96 1.751691e+00 2.668610e+00 -1.170000000000000000e+02 -1.170000000000000000e+02 -3.800000000000000000e+01 -1.100000000000000000e+01
13 104 1.724947e+00 2.570309e+00 -1.170000000000000000e+02 -5.700000000000000000e+01 -1.850000000000000000e+01 -9.000000000000000000e+00
14 112 1.633312e+00 2.507231e+00 -1.170000000000000000e+02 -5.300000000000000000e+01 -3.550000000000000000e+01 -2.600000000000000000e+01
15 120 1.445408e+00 2.468227e+00 -1.170000000000000000e+02 -7.500000000000000000e+01 -4.500000000000000000e+01 -1.100000000000000000e+01
16 128 1.289312e+00 2.483053e+00 -1.170000000000000000e+02 -5.900000000000000000e+01 -3.750000000000000000e+01 -1.000000000000000000e+01
17 136 1.218811e+00 2.339135e+00 -1.170000000000000000e+02 -6.600000000000000000e+01 -4.350000000000000000e+01 -3.200000000000000000e+01
18 144 1.146742e+00 2.303765e+00 -1.170000000000000000e+02 -6.500000000000000000e+01 -4.050000000000000000e+01 -1.000000000000000000e+01
19 152 1.005443e+00 2.417596e+00 -1.170000000000000000e+02 -6.100000000000000000e+01 -4.350000000000000000e+01 -2.900000000000000000e+01
20 160 7.999542e-01 2.414620e+00 -1.170000000000000000e+02 -6.600000000000000000e+01 -5.500000000000000000e+01 -2.700000000000000000e+01
21 168 7.423572e-01 2.398870e+00 -1.170000000000000000e+02 -6.800000000000000000e+01 -4.900000000000000000e+01 -3.400000000000000000e+01
22 176 7.062882e-01 2.348108e+00 -1.170000000000000000e+02 -6.600000000000000000e+01 -4.550000000000000000e+01 -2.200000000000000000e+01
23 184 7.513648e-01 2.414811e+00 -1.170000000000000000e+02 -7.300000000000000000e+01 -5.400000000000000000e+01 -4.600000000000000000e+01
24 192 6.046200e-01 2.449248e+00 -1.170000000000000000e+02 -6.600000000000000000e+01 -4.650000000000000000e+01 -3.500000000000000000e+01
25 200 5.066501e-01 2.484449e+00 -1.170000000000000000e+02 -6.500000000000000000e+01 -5.450000000000000000e+01 -5.000000000000000000e+01
26 208 4.667639e-01 2.692511e+00 -1.170000000000000000e+02 -6.600000000000000000e+01 -6.400000000000000000e+01 -5.900000000000000000e+01
27 216 4.591337e-01 2.798929e+00 -1.170000000000000000e+02 -7.700000000000000000e+01 -6.600000000000000000e+01 -4.900000000000000000e+01
28 224 5.569405e-01 2.762150e+00 -1.170000000000000000e+02 -7.300000000000000000e+01 -6.700000000000000000e+01 -5.600000000000000000e+01
29 232 5.279784e-01 2.854213e+00 -1.170000000000000000e+02 -6.800000000000000000e+01 -6.300000000000000000e+01 -4.100000000000000000e+01
30 240 5.884070e-01 2.798604e+00 -1.170000000000000000e+02 -9.100000000000000000e+01 -6.000000000000000000e+01 -4.600000000000000000e+01
31 248 6.387321e-01 2.873004e+00 -1.340000000000000000e+02 -1.340000000000000000e+02 -5.750000000000000000e+01 -4.000000000000000000e+01
32 256 6.421113e-01 2.869365e+00 -1.340000000000000000e+02 -7.900000000000000000e+01 -6.400000000000000000e+01 -5.800000000000000000e+01
33 264 5.111140e-01 2.874757e+00 -1.340000000000000000e+02 -8.400000000000000000e+01 -6.750000000000000000e+01 -3.700000000000000000e+01
34 272 5.299386e-01 3.151848e+00 -1.340000000000000000e+02 -7.900000000000000000e+01 -6.150000000000000000e+01 -5.400000000000000000e+01
35 280 5.422603e-01 3.270258e+00 -1.340000000000000000e+02 -7.200000000000000000e+01 -6.500000000000000000e+01 -4.800000000000000000e+01
36 288 5.592412e-01 3.488846e+00 -1.340000000000000000e+02 -7.300000000000000000e+01 -6.650000000000000000e+01 -5.600000000000000000e+01
37 296 5.709663e-01 3.773626e+00 -1.340000000000000000e+02 -7.000000000000000000e+01 -6.700000000000000000e+01 -5.500000000000000000e+01
